,,,,,,,,
Financial Year,Week Number,Week start date,Week end date,RTD tarrif rate,RTDs and Spirits,,,
,,,,,"Tariff 2.00
RTDs; Other excisable beverages not exceeding 10% by volume of alcohol",average rtd consumptionper tarrif period,,"Tariff 3.00
Spirits; Other excisable beverages exceeding 10% by volume of alcohol"
,,,,,(litres of alcohol),,,(litres of alcohol)
2007-08,4,22/7/07,28/7/07,38.20,"365,510",,"13,962,482","78,660"
2007-08,5,29/7/07,4/8/07,,"417,526",,0,"60,641"
2007-08,6,5/8/07,11/8/07,38.70,"315,164","405,047","12,196,847","46,689"
2007-08,7,12/8/07,18/8/07,38.70,"317,128",,"12,272,854","49,842"
2007-08,8,19/8/07,25/8/07,38.70,"296,661",,"11,480,781","57,646"
2007-08,9,26/8/07,1/9/07,38.70,"348,526",,"13,487,956","60,730"
2007-08,10,2/9/07,8/9/07,38.70,"385,565",,"14,921,366","54,751"
2007-08,11,9/9/07,15/9/07,38.70,"392,752",,"15,199,502","59,256"
2007-08,12,16/9/07,22/9/07,38.70,"371,471",,"14,375,928","48,564"
2007-08,13,23/9/07,29/9/07,38.70,"497,065",,"19,236,416","78,400"
2007-08,14,30/9/07,6/10/07,38.70,"414,002",,"16,021,877","66,743"
2007-08,15,7/10/07,13/10/07,38.70,"393,258",,"15,219,085","56,638"
2007-08,16,14/10/07,20/10/07,38.70,"408,582",,"15,812,123","62,882"
2007-08,17,21/10/07,27/10/07,38.70,"493,612",,"19,102,784","59,239"
2007-08,18,28/10/07,3/11/07,38.70,"476,694",,"18,448,058","77,712"
2007-08,19,4/11/07,10/11/07,38.70,"446,178",,"17,267,089","79,772"
2007-08,20,11/11/07,17/11/07,38.70,"466,871",,"18,067,908","76,445"
2007-08,21,18/11/07,24/11/07,38.70,"479,210",,"18,545,427","75,981"
2007-08,22,25/11/07,1/12/07,38.70,"489,589",,"18,947,094","86,912"
2007-08,23,2/12/07,8/12/07,38.70,"490,206",,"18,970,972","94,939"
2007-08,24,9/12/07,15/12/07,38.70,"484,437",,"18,747,712","88,392"
2007-08,25,16/12/07,22/12/07,38.70,"624,725",,"24,176,858","100,996"
2007-08,26,23/12/07,29/12/07,38.70,"343,036",,"13,275,493","55,401"
2007-08,27,30/12/07,5/1/08,38.70,"325,907",,"12,612,601","38,373"
2007-08,28,6/1/08,12/1/08,38.70,"305,503",,"11,822,966","45,663"
2007-08,29,13/1/08,19/1/08,38.70,"238,876",,"9,244,501","32,875"
2007-08,30,20/1/08,26/1/08,38.70,"321,159",,"12,428,853","47,807"
2007-08,31,27/1/08,2/2/08,,"369,793",,0,"45,691"
2007-08,32,3/2/08,9/2/08,39.36,"255,062","268,035","10,039,240","32,518"
2007-08,33,10/2/08,16/2/08,39.36,"255,414",,"10,053,095","31,611"
2007-08,34,17/2/08,23/2/08,39.36,"317,903",,"12,512,662","36,030"
2007-08,35,24/2/08,1/3/08,39.36,"353,898",,"13,929,425","40,388"
2007-08,36,2/3/08,8/3/08,39.36,"341,319",,"13,434,316","43,025"
2007-08,37,9/3/08,15/3/08,39.36,"381,085",,"14,999,506","48,023"
2007-08,38,16/3/08,22/3/08,39.36,"386,031",,"15,194,180","49,631"
2007-08,39,23/3/08,29/3/08,39.36,"314,522",,"12,379,586","47,993"
2007-08,40,30/3/08,5/4/08,39.36,"327,951",,"12,908,151","47,163"
2007-08,41,6/4/08,12/4/08,39.36,"312,424",,"12,297,009","40,807"
2007-08,42,13/4/08,19/4/08,39.36,"356,155",,"14,018,261","53,674"
2007-08,43,20/4/08,26/4/08,39.36,"359,181",,"14,137,364","41,755"
2007-08,44,27/4/08,3/5/08,66.67,"312,735",,"20,850,042","50,122"
2007-08,45,4/5/08,10/5/08,66.67,"188,579",,"12,572,562","71,451"
2007-08,46,11/5/08,17/5/08,66.67,"165,019",,"11,001,817","63,396"
2007-08,47,18/5/08,24/5/08,66.67,"155,568",,"10,371,719","68,405"
2007-08,48,25/5/08,31/5/08,66.67,"154,350",,"10,290,515","63,820"
2007-08,49,1/6/08,7/6/08,66.67,"156,916",,"10,461,590","67,532"
2007-08,50,8/6/08,14/6/08,66.67,"156,636",,"10,442,922","70,901"
2007-08,51,15/6/08,21/6/08,66.67,"185,744",,"12,383,552","73,764"
2007-08,52,22/6/08,28/6/08,66.67,"192,251",,"12,817,374","108,096"
2007-08,53,,,,"165,983",,0,"53,131"
2008-09,1,1/7/08,7/7/08,66.67,"194,914","237,522","12,994,916","65,738"
2008-09,2,8/7/08,14/7/08,66.67,"210,106",,"14,007,767","64,249"
2008-09,3,15/7/08,21/7/08,66.67,"283,327",,"18,889,411","95,894"
2008-09,4,22/7/08,28/7/08,66.67,"261,739",,"17,450,139","73,971"
2008-09,5,29/7/08,4/8/08,,"190,293",,0,"47,540"
2008-09,6,5/8/08,11/8/08,68.54,"190,266","270,038","13,040,832","52,996"
2008-09,7,12/8/08,18/8/08,68.54,"221,790",,"15,201,487","48,758"
2008-09,8,19/8/08,25/8/08,68.54,"223,344",,"15,307,998","47,256"
2008-09,9,26/8/08,1/9/08,68.54,"216,962",,"14,870,575","54,557"
2008-09,10,2/9/08,8/9/08,68.54,"221,529",,"15,183,598","52,951"
2008-09,11,9/9/08,15/9/08,68.54,"233,410",,"15,997,921","53,445"
2008-09,12,16/9/08,22/9/08,68.54,"289,913",,"19,870,637","58,999"
2008-09,13,23/9/08,29/9/08,68.54,"273,934",,"18,775,436","80,602"
2008-09,14,30/9/08,6/10/08,68.54,"269,988",,"18,504,978","55,715"
2008-09,15,7/10/08,13/10/08,68.54,"296,557",,"20,326,017","55,699"
2008-09,16,14/10/08,20/10/08,68.54,"298,943",,"20,489,553","74,238"
2008-09,17,21/10/08,27/10/08,68.54,"306,492",,"21,006,962","79,737"
2008-09,18,28/10/08,3/11/08,68.54,"304,645",,"20,880,368","86,053"
2008-09,19,4/11/08,10/11/08,68.54,"314,441",,"21,551,786","80,742"
2008-09,20,11/11/08,17/11/08,68.54,"283,586",,"19,436,984","78,798"
2008-09,21,18/11/08,24/11/08,68.54,"336,971",,"23,095,992","94,702"
2008-09,22,25/11/08,1/12/08,68.54,"337,246",,"23,114,841","115,502"
2008-09,23,2/12/08,8/12/08,68.54,"327,489",,"22,446,096","104,213"
2008-09,24,9/12/08,15/12/08,68.54,"417,135",,"28,590,433","128,691"
2008-09,25,16/12/08,22/12/08,68.54,"251,931",,"17,267,351","58,921"
2008-09,26,23/12/08,29/12/08,68.54,"230,038",,"15,766,805","48,113"
2008-09,27,30/12/08,5/1/09,68.54,"200,117",,"13,716,019","47,579"
2008-09,28,6/1/09,12/1/09,68.54,"200,561",,"13,746,451","49,220"
2008-09,29,13/1/09,19/1/09,68.54,"224,618",,"15,395,318","56,517"
2008-09,30,20/1/09,26/1/09,68.54,"279,051",,"19,126,156","76,087"
2008-09,31,27/1/09,2/2/09,,"181,922",,0,"43,479"
2008-09,32,3/2/09,9/2/09,69.16,"178,846","219,930","12,368,989","47,168"
2008-09,33,10/2/09,16/2/09,69.16,"181,160",,"12,529,026","45,235"
