,,,,,,,,
Financial Year,Week Number,Week start date,Week end date,RTD tarrif rate,RTDs and Spirits,,,
,,,,,"Tariff 2.00
RTDs; Other excisable beverages not exceeding 10% by volume of alcohol",average rtd consumptionper tarrif period,,"Tariff 3.00
Spirits; Other excisable beverages exceeding 10% by volume of alcohol"
,,,,,(litres of alcohol),,,(litres of alcohol)
2012-13,21,18/11/12,24/11/12,75.17,"277,135",,"20,832,238","159,896"
2012-13,22,25/11/12,1/12/12,75.17,"323,878",,"24,345,909","182,386"
2012-13,23,2/12/12,8/12/12,75.17,"337,281",,"25,353,413","163,080"
2012-13,24,9/12/12,15/12/12,75.17,"381,501",,"28,677,430","168,920"
2012-13,25,16/12/12,22/12/12,75.17,"385,769",,"28,998,256","150,330"
2012-13,26,23/12/12,29/12/12,75.17,"200,890",,"15,100,901","58,376"
2012-13,27,30/12/12,5/1/13,75.17,"181,476",,"13,641,551","69,695"
2012-13,28,6/1/13,12/1/13,75.17,"163,322",,"12,276,915","59,629"
2012-13,29,13/1/13,19/1/13,75.17,"180,991",,"13,605,093","70,077"
2012-13,30,20/1/13,26/1/13,75.17,"211,380",,"15,889,435","99,340"
2012-13,31,27/1/13,2/2/13,,"199,441",,0,"87,941"
2012-13,32,3/2/13,9/2/13,76.37,"171,159","207,742","13,071,413","56,287"
2012-13,33,10/2/13,16/2/13,76.37,"184,709",,"14,106,226","62,974"
2012-13,34,17/2/13,23/2/13,76.37,"181,714",,"13,877,498","71,034"
2012-13,35,24/2/13,2/3/13,76.37,"212,906",,"16,259,631","73,306"
2012-13,36,3/3/13,9/3/13,76.37,"240,975",,"18,403,261","104,043"
2012-13,37,10/3/13,16/3/13,76.37,"232,555",,"17,760,225","111,881"
2012-13,38,17/3/13,23/3/13,76.37,"286,959",,"21,915,059","114,924"
2012-13,39,24/3/13,30/3/13,76.37,"202,051",,"15,430,635","95,644"
2012-13,40,31/3/13,6/4/13,76.37,"165,916",,"12,671,005","71,113"
2012-13,41,7/4/13,13/4/13,76.37,"183,628",,"14,023,670","80,913"
2012-13,42,14/4/13,20/4/13,76.37,"197,658",,"15,095,141","64,140"
2012-13,43,21/4/13,27/4/13,76.37,"195,244",,"14,910,784","66,072"
2012-13,44,28/4/13,4/5/13,76.37,"249,363",,"19,043,852","86,014"
2012-13,45,5/5/13,11/5/13,76.37,"201,886",,"15,418,034","74,963"
2012-13,46,12/5/13,18/5/13,76.37,"190,540",,"14,551,540","80,086"
2012-13,47,19/5/13,25/5/13,76.37,"176,779",,"13,500,612","71,403"
2012-13,48,26/5/13,1/6/13,76.37,"225,203",,"17,198,753","86,864"
2012-13,49,2/6/13,8/6/13,76.37,"229,831",,"17,552,193","93,295"
2012-13,50,9/6/13,15/6/13,76.37,"180,592",,"13,791,811","87,954"
2012-13,51,16/6/13,22/6/13,76.37,"188,752",,"14,414,990","87,502"
2012-13,52,23/6/13,29/6/13,76.37,"229,138",,"17,499,269","140,855"
2013-14,1,1/7/13,7/7/13,76.37,"207,776",,"15,867,853","109,753"
2013-14,2,8/7/13,14/7/13,76.37,"215,547",,"16,461,324","79,206"
2013-14,3,15/7/13,21/7/13,76.37,"222,320",,"16,978,578","87,755"
2013-14,4,22/7/13,28/7/13,76.37,"220,355",,"16,828,511","74,533"
2013-14,5,29/7/13,4/8/13,,"286,473",,0,"119,830"
2013-14,6,5/8/13,11/8/13,76.98,"178,324","240,470","13,727,382","78,257"
2013-14,7,12/8/13,18/8/13,76.98,"178,992",,"13,778,804","79,991"
2013-14,8,19/8/13,25/8/13,76.98,"209,353",,"16,115,994","73,835"
2013-14,9,26/8/13,1/9/13,76.98,"197,586",,"15,210,170","67,309"
2013-14,10,2/9/13,8/9/13,76.98,"195,277",,"15,032,423","72,960"
2013-14,11,9/9/13,15/9/13,76.98,"248,599",,"19,137,151","98,785"
2013-14,12,16/9/13,22/9/13,76.98,"252,562",,"19,442,223","100,318"
2013-14,13,23/9/13,29/9/13,76.98,"254,729",,"19,609,038","101,659"
2013-14,14,30/9/13,6/10/13,76.98,"232,825",,"17,922,869","85,265"
2013-14,15,7/10/13,13/10/13,76.98,"215,702",,"16,604,740","84,343"
2013-14,16,14/10/13,20/10/13,76.98,"239,016",,"18,399,452","90,635"
2013-14,17,21/10/13,27/10/13,76.98,"222,842",,"17,154,377","143,590"
2013-14,18,28/10/13,3/11/13,76.98,"242,993",,"18,705,601","137,233"
2013-14,19,4/11/13,10/11/13,76.98,"270,974",,"20,859,579","130,371"
2013-14,20,11/11/13,17/11/13,76.98,"303,276",,"23,346,186","131,432"
2013-14,21,18/11/13,24/11/13,76.98,"264,587",,"20,367,907","104,653"
2013-14,22,25/11/13,1/12/13,76.98,"256,371",,"19,735,440","104,162"
2013-14,23,2/12/13,8/12/13,76.98,"297,734",,"22,919,563","151,984"
2013-14,24,9/12/13,15/12/13,76.98,"344,793",,"26,542,165","163,932"
2013-14,25,16/12/13,22/12/13,76.98,"429,545",,"33,066,374","125,520"
2013-14,26,23/12/13,29/12/13,76.98,"166,745",,"12,836,030","68,029"
2013-14,27,30/12/13,5/1/14,76.98,"171,727",,"13,219,544","73,463"
2013-14,28,6/1/14,12/1/14,76.98,"205,444",,"15,815,079","71,250"
2013-14,29,13/1/14,19/1/14,76.98,"210,994",,"16,242,318","69,717"
2013-14,30,20/1/14,26/1/14,76.98,"220,749",,"16,993,258","72,190"
2013-14,31,27/1/14,2/2/14,,"183,797",,0,"62,877"
2013-14,32,3/2/14,9/2/14,78.44,"220,288","200,587","17,279,391","92,653"
2013-14,33,10/2/14,16/2/14,78.44,"148,208",,"11,625,436","63,854"
2013-14,34,17/2/14,23/2/14,78.44,"174,299",,"13,672,014","73,642"
2013-14,35,24/2/14,2/3/14,78.44,"163,835",,"12,851,217","79,733"
2013-14,36,3/3/14,9/3/14,78.44,"178,065",,"13,967,419","95,216"
2013-14,37,10/3/14,16/3/14,78.44,"239,947",,"18,821,443","94,451"
2013-14,38,17/3/14,23/3/14,78.44,"226,556",,"17,771,053","100,500"
2013-14,39,24/3/14,30/3/14,78.44,"206,187",,"16,173,308","83,308"
2013-14,40,31/3/14,6/4/14,78.44,"216,196",,"16,958,414","114,322"
2013-14,41,7/4/14,13/4/14,78.44,"288,103",,"22,598,799","84,335"
2013-14,42,14/4/14,20/4/14,78.44,"212,455",,"16,664,970","67,368"
2013-14,43,21/4/14,27/4/14,78.44,"135,108",,"10,597,872","58,339"
2013-14,44,28/4/14,4/5/14,78.44,"158,990",,"12,471,176","99,820"
2013-14,45,5/5/14,11/5/14,78.44,"174,791",,"13,710,606","75,793"
2013-14,46,12/5/14,18/5/14,78.44,"165,436",,"12,976,800","67,452"
2013-14,47,19/5/14,25/5/14,78.44,"180,098",,"14,126,887","93,773"
2013-14,48,26/5/14,1/6/14,78.44,"204,808",,"16,065,140","99,633"
2013-14,49,2/6/14,8/6/14,78.44,"228,733",,"17,941,817","87,119"
2013-14,50,9/6/14,15/6/14,78.44,"185,122",,"14,520,970","81,024"
2013-14,51,16/6/14,22/6/14,78.44,"203,418",,"15,956,108","79,957"
2013-14,52,23/6/14,29/6/14,78.44,"202,631",,"15,894,376","99,509"
2014-15,1,1/7/14,7/7/14,78.44,"213,180",,"16,721,839","97,705"
2014-15,2,8/7/14,14/7/14,78.44,"206,003",,"16,158,875","74,634"
2014-15,3,15/7/14,21/7/14,78.44,"220,116",,"17,265,899","108,578"
2014-15,4,22/7/14,28/7/14,78.44,"262,109",,"20,559,830","97,161"
2014-15,5,29/7/14,4/8/14,,"191,786",,0,"75,547"
2014-15,6,5/8/14,11/8/14,79.22,"174,290","229,193","13,807,254","102,591"
2014-15,7,12/8/14,18/8/14,79.22,"183,754",,"14,556,992","66,523"
2014-15,8,19/8/14,25/8/14,79.22,"180,912",,"14,331,849","73,653"
2014-15,9,26/8/14,1/9/14,79.22,"218,200",,"17,285,804","75,804"
2014-15,10,2/9/14,8/9/14,79.22,"233,099",,"18,466,103","90,965"
2014-15,11,9/9/14,15/9/14,79.22,"274,760",,"21,766,487","111,350"
2014-15,12,16/9/14,22/9/14,79.22,"248,028",,"19,648,778","85,117"
2014-15,13,23/9/14,29/9/14,79.22,"221,486",,"17,546,121","74,538"
2014-15,14,30/9/14,6/10/14,79.22,"226,683",,"17,957,827","89,289"
2014-15,15,7/10/14,13/10/14,79.22,"195,266",,"15,468,973","99,493"
2014-15,16,14/10/14,20/10/14,79.22,"203,086",,"16,088,473","97,193"
2014-15,17,21/10/14,27/10/14,79.22,"245,862",,"19,477,188","131,528"
2014-15,18,28/10/14,3/11/14,79.22,"256,689",,"20,334,903","120,642"
2014-15,19,4/11/14,10/11/14,79.22,"254,470",,"20,159,113","119,649"
2014-15,20,11/11/14,17/11/14,79.22,"278,167",,"22,036,390","140,509"
2014-15,21,18/11/14,24/11/14,79.22,"298,562",,"23,652,082","141,556"
2014-15,22,25/11/14,1/12/14,79.22,"297,672",,"23,581,576","164,922"
2014-15,23,2/12/14,8/12/14,79.22,"304,293",,"24,106,091","124,878"
2014-15,24,9/12/14,15/12/14,79.22,"296,380",,"23,479,224","114,855"
2014-15,25,16/12/14,22/12/14,79.22,"201,692",,"15,978,040","79,862"
2014-15,26,23/12/14,29/12/14,79.22,"187,604",,"14,861,989","97,989"
2014-15,27,30/12/14,5/1/15,79.22,"202,128",,"16,012,580","80,298"
2014-15,28,6/1/15,12/1/15,79.22,"196,967",,"15,603,726","68,623"
2014-15,29,13/1/15,19/1/15,79.22,"166,974",,"13,227,680","84,988"
2014-15,30,20/1/15,26/1/15,79.22,"182,789",,"14,480,545","85,424"
2014-15,31,27/1/15,2/2/15,,"179,804",,0,"69,652"
2014-15,32,3/2/15,9/2/15,79.77,"176,172","187,999","14,053,240","79,567"
2014-15,33,10/2/15,16/2/15,79.77,"172,267",,"13,741,739","71,569"
2014-15,34,17/2/15,23/2/15,79.77,"188,849",,"15,064,485","91,010"
2014-15,35,24/2/15,2/3/15,79.77,"205,605",,"16,401,111","106,140"
2014-15,36,3/3/15,9/3/15,79.77,"223,994",,"17,868,001","113,625"
2014-15,37,10/3/15,16/3/15,79.77,"215,796",,"17,214,047","78,170"
2014-15,38,17/3/15,23/3/15,79.77,"219,149",,"17,481,516","65,439"
2014-15,39,24/3/15,30/3/15,79.77,"193,380",,"15,425,923","98,109"
2014-15,40,31/3/15,6/4/15,79.77,"190,597",,"15,203,923","92,417"
2014-15,41,7/4/15,13/4/15,79.77,"167,132",,"13,332,120","64,772"
2014-15,42,14/4/15,20/4/15,79.77,"168,746",,"13,460,868","78,501"
2014-15,43,21/4/15,27/4/15,79.77,"175,239",,"13,978,815","106,828"
2014-15,44,28/4/15,4/5/15,79.77,"193,533",,"15,438,127","97,142"
2014-15,45,5/5/15,11/5/15,79.77,"167,622",,"13,371,207","72,724"
2014-15,46,12/5/15,18/5/15,79.77,"169,946",,"13,556,592","74,796"
2014-15,47,19/5/15,25/5/15,79.77,"195,060",,"15,559,936","126,558"
2014-15,48,26/5/15,1/6/15,79.77,"226,590",,"18,075,084","95,450"
2014-15,49,2/6/15,8/6/15,79.77,"161,848",,"12,910,615","82,938"
2014-15,50,9/6/15,15/6/15,79.77,"184,790",,"14,740,698","91,210"
2014-15,51,16/6/15,22/6/15,79.77,"187,605",,"14,965,251","82,722"
2014-15,52,23/6/15,29/6/15,79.77,"164,069",,"13,087,784","48,312"
